Adams Classrooms, Davison Hall, 528
Davison Hall, A.E. Phillips Laboratory School, 2112
A.E. Phillips Laboratory School, F. Jay Taylor Visual Arts Center, 211
A.E. Phillips Laboratory School, Biomedical Engineering Building, 1584
F. Jay Taylor Visual Arts Center, Biomedical Engineering Building, 1584
Biomedical Engineering Building, Institute for Micromanufacturing, 1584
A.E. Phillips Laboratory School, Institute for Micromanufacturing, 370
F. Jay Taylor Visual Arts Center, Band Building, 528
Band Building, Woodard Hall, 528
George T. Madison Hall, Hale Hall, 1056
A.E. Phillips Laboratory School, George T. Madison Hall, 2112
George T. Madison Hall, College of Business Building, 1584
College of Business Building, , 1056
College of Business Building, Nethken Hall, 528
Nethken Hall, Bogard Hall, 211
Nethken Hall, Engineering Annex, 211
Engineering Annex, Carson-Taylor Hall, 528
Carson-Taylor Hall, Bogard Hall, 475
Bogard Hall, Howard Center for the Performing Arts, 159
Bogard Hall, College of Business Building, 528
Davison Hall, Adams Classrooms, 528
A.E. Phillips Laboratory School, Davison Hall, 2112
F. Jay Taylor Visual Arts Center, A.E. Phillips Laboratory School, 211
Biomedical Engineering Building, A.E. Phillips Laboratory School, 1584
Biomedical Engineering Building, F. Jay Taylor Visual Arts Center, 1584
Institute for Micromanufacturing, Biomedical Engineering Building, 1584
Institute for Micromanufacturing, A.E. Phillips Laboratory School, 370
Band Building, F. Jay Taylor Visual Arts Center, 528
Woodard Hall, Band Building, 528
Hale Hall, George T. Madison Hall, 1056
College of Business Building, George T. Madison Hall, 1584
Nethken Hall, College of Business Building, 528
Bogard Hall, Nethken Hall, 211
Engineering Annex, Nethken Hall, 211
Carson-Taylor Hall, Engineering Annex, 528
Bogard Hall, Carson-Taylor Hall, 475
Howard Center for the Performing Arts, Bogard Hall, 159
College of Business Building, Bogard Hall, 528
